"","Black-footed Ferret","Burrowing Owl","Eastern Yellow-bellied Racer","Greater Sage Grouse","Prairie Loggerhead Shrike","Mormon Metalmark","Mountain Plover","Sprague's Pipit","Swift Fox","Black-tailed Prairie Dog","Long-billed Curlew","McCown's Longspur","Northern Leopard Frog","Chestnut-collared Longspur","Ferruginous Hawk"
"Baseline",0,4.38,62.5,3.13,35.63,72.5,41.67,36.25,30,43.13,41.25,29.29,35,28.57,33.75
"S1",0.73,4.38,62.5,3.13,35.63,72.5,41.67,36.25,30,43.13,41.25,29.29,35,28.57,33.75
"S2",0,22.04,62.5,5.6,35.63,72.5,41.67,36.25,30,43.13,41.25,29.29,35,28.57,35.26
"S3",0,4.73,62.5,7.79,35.63,72.5,41.67,36.25,30,43.13,41.25,29.29,35,28.57,33.75
"S4",0,19.44,62.5,3.13,35.63,72.5,41.67,36.25,30,43.13,41.25,29.29,35,28.57,33.75
"S5",0,4.38,62.5,4.73,35.9,72.5,41.67,36.25,30.99,50.11,41.25,29.29,37.3,28.57,33.75
"S6",0,7.46,62.5,3.81,35.63,72.5,41.67,36.25,30,43.13,43.05,31,35,28.57,37.05
"S7",0,8.25,62.5,3.13,37.77,73.13,42.17,38.39,31.25,43.48,42.5,30.36,39.5,29.29,39.06
"S8",0,5.98,66.36,10.52,38.84,72.5,41.67,37.73,32.14,43.13,46.4,29.29,37.57,28.94,35.22
"S9",0,21.52,68.73,22.87,48.33,76.66,44.44,51.11,34.85,53,53.2,43.3,45.39,42.58,47.26
"S10",0,9.58,65.7,13.53,40.03,72.5,42.2,42.09,32.13,43.13,45.25,33.22,35,32.5,39.69
"S11",0,4.57,62.5,3.22,35.63,73.08,41.67,36.77,30,43.13,41.36,29.3,35,28.68,33.75
"S12",0,5.63,62.5,4.91,35.63,72.5,42.29,38.75,31.56,43.13,42.75,31.12,35,29.99,35.25
"S13",0,8.83,66.78,15.17,38.17,72.5,42.56,41.25,32.55,44.14,42.27,30.92,37.85,31.73,37.59
"S14",0,16.4,73.56,23.85,44.75,79.13,47.75,47.28,34.26,53.08,51.61,42.36,46.06,41.65,46.6
"S15",0,33.36,80.58,44.26,57.34,79.98,51.02,62.06,39.17,63.23,63.69,56.64,56.82,55.93,60.4
"S16",0,33.95,83.66,50.02,59.96,78.27,49.36,63.09,41.41,58.64,67.94,53.94,54.72,53.64,61.32
"S17",0,37.34,86.67,45.98,63.42,79.09,50.46,66.91,43.03,60.84,71.74,57.45,57.53,57.2,65.24
"S18",20.89,32.23,80.26,42.36,60.26,79.16,49.82,61.71,45.48,67.48,68.32,55.7,61.24,54.47,60.77
