,Seabirds,Raptors,Songbirds,Anadromous Fish,Bats,Marine Mammal (SRKW),Coastal Sand Ecosystems,Grassland-threatened was 5,Forest Specialists,"Freshwater (marsh, creek, mudflat, lake)",Saltwater (Mudflat/seagrass/saltmarsh),Wetland Residents (was 24),Wetland Migrants
Baseline,51.00,46.00,53.00,45.00,44.00,38.00,50.02,43.00,47.00,46.00,49.00,52.00,50.02
S1,51.00,56.00,61.00,49.00,54.00,39.00,54.00,50.02,60.02,53.00,54.00,60.02,56.00
S2,51.00,51.00,59.00,49.00,50.02,39.00,51.00,48.00,51.00,51.00,51.00,57.00,53.00
S3,51.00,47.00,55.00,55.00,47.00,41.00,52.00,43.00,48.00,54.00,53.00,58.00,55.00
S4,51.00,47.00,60.02,50.02,44.00,38.00,54.00,45.00,49.00,54.00,57.00,59.00,56.00
S5,53.00,48.00,56.00,49.00,47.00,42.00,51.00,44.00,50.02,49.00,52.00,55.00,52.00
S6,57.00,46.00,54.00,59.00,44.00,46.00,50.02,43.00,47.00,50.02,54.00,54.00,50.02
S7,53.00,50.02,59.00,53.00,51.00,42.00,52.00,46.00,49.00,53.00,53.00,58.00,54.00
S8,51.00,48.00,56.00,45.00,48.00,38.00,51.00,45.00,49.00,47.00,50.02,54.00,52.00
S9,52.00,46.00,53.00,52.00,44.00,40.00,50.02,43.00,47.00,47.00,51.00,53.00,50.02
S10,53.00,48.00,56.00,57.00,48.00,43.00,50.02,43.00,47.00,56.00,57.00,60.02,57.00
S11,52.00,55.00,63.00,51.00,55.00,40.00,55.00,49.00,57.00,55.00,55.00,62.00,58.00
S12,56.00,51.00,61.00,59.00,55.00,48.00,52.00,45.00,49.00,61.00,60.02,64.00,60.02
S13,57.00,48.00,58.00,62.00,47.00,49.00,51.00,44.00,48.00,57.00,61.00,60.02,56.00
S14,60.3224485,59.15717163,65.89319857,62.53391534,59.25176758,51.11230082,56.6118967,52.8224485,60.64610541,62.79071273,62.9659074,66.58946597,61.25448302
