"","Strategy","Cost","Feasibility"
"1","Baseline",0,NA
"2","S1",359696.001676446,0.025
"3","S2",5751075.65,0.7065625
"4","S3",4642029.11626151,0.286875
"5","S4",436044.17009444,0.57
"6","S5",2255357.45026538,0.328472222
"7","S6",3747220.0210649,0.48
"8","S7",1359032.63449677,0.5
"9","S8",454594.444700681,0.5146875
"10","S9",44107130.6868407,0.83125
"11","S10",55826143.368813,0.64
"12","S11",723682.848726356,0.0777777778
"13","S12",1533991.61556216,0.5
"14","S13",2000783.33521368,0.713580247
"15","S14",20754452.5189947,0.6633439626
"16","S15",64861583.2058353,0.7479937287
"17","S16",125784350.13561,0.577147449
"18","S17",121142321.019349,0.6592984694
"19","S18",143951233.862711,0.4844395032
